country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,TamilNadu,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB",6/3/2025 15:00,8.728442,77.6962,PM10,20,37,28
India,TamilNadu,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB",6/3/2025 15:00,8.728442,77.6962,NO2,4,12,7
India,TamilNadu,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB",6/3/2025 15:00,8.728442,77.6962,NH3,1,2,1
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",6/3/2025 15:00,13.4127,80.1081,SO2,2,113,32
India,TamilNadu,Kanchipuram,"Kilambi, Kanchipuram - TNPCB",6/3/2025 15:00,12.864618,79.659968,NO2,1,18,8
India,TamilNadu,Kanchipuram,"Kilambi, Kanchipuram - TNPCB",6/3/2025 15:00,12.864618,79.659968,CO,12,13,12
India,TamilNadu,Kanchipuram,"Kilambi, Kanchipuram - TNPCB",6/3/2025 15:00,12.864618,79.659968,OZONE,8,9,8
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB",6/3/2025 15:00,9.865935,78.022669,PM10,48,118,81
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB",6/3/2025 15:00,9.865935,78.022669,NH3,2,2,2
India,TamilNadu,Nagapattinam,"Velippalayam, Nagapattinam - TNPCB",6/3/2025 15:00,10.798548,79.838212,PM2.5,3,33,16
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",6/3/2025 15:00,10.942451,76.978996,SO2,18,20,19
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB",6/3/2025 15:00,11.7637683,79.7499835,PM10,10,62,32
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB",6/3/2025 15:00,11.7637683,79.7499835,NO2,12,32,19
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",6/3/2025 15:00,13.4127,80.1081,PM10,46,158,87
India,TamilNadu,Nagapattinam,"Velippalayam, Nagapattinam - TNPCB",6/3/2025 15:00,10.798548,79.838212,CO,11,24,17
India,TamilNadu,Ooty,"Bombay Castel, Ooty - TNPCB",6/3/2025 15:00,11.4068288,76.7138973,NH3,8,18,15
India,TamilNadu,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB",6/3/2025 15:00,10.681158,78.741746,PM10,32,65,43
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",6/3/2025 15:00,17.470431,78.566959,OZONE,48,49,49
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",6/3/2025 15:00,17.5184,78.278777,PM2.5,30,188,114
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB",6/3/2025 15:00,17.585705,78.126199,NO2,12,15,12
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",6/3/2025 15:00,12.9533,80.2357,PM10,42,337,92
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",6/3/2025 15:00,12.9533,80.2357,NH3,3,4,3
India,TamilNadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",6/3/2025 15:00,11.0328,77.0349,NO2,9,11,10
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",6/3/2025 15:00,17.540891,78.358528,PM10,70,148,125
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",6/3/2025 15:00,17.540891,78.358528,NH3,2,6,4
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",6/3/2025 15:00,17.470431,78.566959,PM10,68,99,78
India,TamilNadu,Virudhunagar,"Collectorate Office, Virudhunagar - TNPCB",6/3/2025 15:00,9.559382,77.948828,PM2.5,21,82,38
India,TamilNadu,Virudhunagar,"Collectorate Office, Virudhunagar - TNPCB",6/3/2025 15:00,9.559382,77.948828,NH3,4,8,7
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",6/3/2025 15:00,28.964949,77.278761,OZONE,13,65,38
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",6/3/2025 15:00,28.359581,79.414455,PM10,8,14,10
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",6/3/2025 15:00,28.359581,79.414455,CO,2,17,13
